smk_id,smk_latitude,smk_longitude,wof_id,wof_parentid,wof_name,wof_placetype
971,56.89488107884143,9.228142310450727,85682593,85633121,North Jutland,region
971,56.89488107884143,9.228142310450727,1159297741,85682593,Vesthimmerland,localadmin
971,56.89488107884143,9.228142310450727,85633121,102191581,Denmark,country
946,55.79858164761213,11.555151986785877,85682589,85633121,Zealand,region
946,55.79858164761213,11.555151986785877,1159297935,85682589,,localadmin
946,55.79858164761213,11.555151986785877,85633121,102191581,Denmark,country
946,55.79858164761213,11.555151986785877,1394014017,85682589,Odsherred,localadmin
968,56.89488000883981,9.228126217196637,101846111,1159297741,Ranum,locality
968,56.89488000883981,9.228126217196637,85682593,85633121,North Jutland,region
968,56.89488000883981,9.228126217196637,1159297741,85682593,Vesthimmerland,localadmin
968,56.89488000883981,9.228126217196637,85633121,102191581,Denmark,country
975,56.89485426759608,9.228136946032697,101846111,1159297741,Ranum,locality
975,56.89485426759608,9.228136946032697,85682593,85633121,North Jutland,region
975,56.89485426759608,9.228136946032697,1159297741,85682593,Vesthimmerland,localadmin
975,56.89485426759608,9.228136946032697,85633121,102191581,Denmark,country
969,56.89485855485855,9.228265692065412,101846111,1159297741,Ranum,locality
969,56.89485855485855,9.228265692065412,85682593,85633121,North Jutland,region
969,56.89485855485855,9.228265692065412,1159297741,85682593,Vesthimmerland,localadmin
969,56.89485855485855,9.228265692065412,85633121,102191581,Denmark,country
972,56.89492392705344,9.22804575092619,101846111,1159297741,Ranum,locality
972,56.89492392705344,9.22804575092619,85682593,85633121,North Jutland,region
972,56.89492392705344,9.22804575092619,1159297741,85682593,Vesthimmerland,localadmin
972,56.89492392705344,9.22804575092619,85633121,102191581,Denmark,country
978,56.89491376858992,9.228217412303144,101846111,1159297741,Ranum,locality
978,56.89491376858992,9.228217412303144,85682593,85633121,North Jutland,region
978,56.89491376858992,9.228217412303144,1159297741,85682593,Vesthimmerland,localadmin
978,56.89491376858992,9.228217412303144,85633121,102191581,Denmark,country
973,56.89485903497511,9.228335429499799,101846111,1159297741,Ranum,locality
973,56.89485903497511,9.228335429499799,85682593,85633121,North Jutland,region
973,56.89485903497511,9.228335429499799,1159297741,85682593,Vesthimmerland,localadmin
973,56.89485903497511,9.228335429499799,85633121,102191581,Denmark,country
966,55.00010314092718,12.521735975640883,85682589,85633121,Zealand,region
966,55.00010314092718,12.521735975640883,85633121,102191581,Denmark,country
966,55.00010314092718,12.521735975640883,1394013993,85682589,Vordingborg,localadmin
966,55.00010314092718,12.521735975640883,1159297907,85682589,Jammerbugt,localadmin
976,56.894950824247566,9.227976013491803,101846111,1159297741,Ranum,locality
976,56.894950824247566,9.227976013491803,85682593,85633121,North Jutland,region
976,56.894950824247566,9.227976013491803,1159297741,85682593,Vesthimmerland,localadmin
976,56.894950824247566,9.227976013491803,85633121,102191581,Denmark,country
979,56.894874753376776,9.228233505557233,101846111,1159297741,Ranum,locality
979,56.894874753376776,9.228233505557233,85682593,85633121,North Jutland,region
979,56.894874753376776,9.228233505557233,1159297741,85682593,Vesthimmerland,localadmin
979,56.894874753376776,9.228233505557233,85633121,102191581,Denmark,country
980,56.894898692873404,9.228158403704816,101846111,1159297741,Ranum,locality
980,56.894898692873404,9.228158403704816,85682593,85633121,North Jutland,region
980,56.894898692873404,9.228158403704816,85633121,102191581,Denmark,country
980,56.894898692873404,9.228158403704816,1159297741,85682593,Vesthimmerland,localadmin
967,56.89484872538889,9.228254963229352,101846111,1159297741,Ranum,locality
967,56.89484872538889,9.228254963229352,85682593,85633121,North Jutland,region
967,56.89484872538889,9.228254963229352,1159297741,85682593,Vesthimmerland,localadmin
967,56.89484872538889,9.228254963229352,85633121,102191581,Denmark,country
981,56.89490378064941,9.228249598811322,101846111,1159297741,Ranum,locality
981,56.89490378064941,9.228249598811322,85682593,85633121,North Jutland,region
981,56.89490378064941,9.228249598811322,1159297741,85682593,Vesthimmerland,localadmin
981,56.89490378064941,9.228249598811322,85633121,102191581,Denmark,country
977,56.89494804286576,9.228131581614667,101846111,1159297741,Ranum,locality
977,56.89494804286576,9.228131581614667,85682593,85633121,North Jutland,region
